date,SPY,QQQ,IWM,EFA,EEM,AGG,TLT,GLD,USO,VNQ,GSG,HYG
2010-01-04,85.43130398675986,40.66157503657373,52.874052413169615,36.99706715430087,32.07557925011536,70.78472528954298,59.76285219365905,109.8,322.16,25.912551950620948,32.7,38.596518506569915
2010-01-05,85.65744855207548,40.66157503657373,52.692241041945834,37.02967518105418,32.30839193022625,71.10675433693515,60.14880536448994,109.7,323.28,25.883469400732483,33.03,38.77962635444927
2010-01-06,85.71775628225224,40.41630918111831,52.642656122521174,37.186193709470054,32.37598270832295,71.0656442457787,59.34362719775653,111.51,327.76,25.836937320910945,33.27,38.87989969971654
2010-01-07,86.07959587886283,40.442587665631386,53.03107132468106,37.0427183917555,32.18823054694321,70.9834240634658,59.443442672971415,110.82,325.76,26.11612979984019,33.11,39.03684928361313
2010-01-08,86.36604892818299,40.77544846946374,53.320316687991614,37.336190632535256,32.44357348641966,71.02453415462226,59.41682521291411,111.37,327.44,25.924184970576334,33.18,39.09788523290625
2010-01-11,86.48666363470875,40.60901806754757,53.10544870381806,37.64270608401633,32.37598270832295,70.96972069974699,59.09076132721215,112.85,324.32,26.075414229996344,33.02,39.063007547595895
2010-01-12,85.68006866231539,40.100967366961335,52.52695797719695,37.19923692017137,31.85778674291486,71.42193170246792,60.102224809389654,110.49,317.04,25.63917598166939,32.28,38.862460857061365
2010-01-13,86.4037425787421,40.600258572709876,53.20461854266739,37.51227397700311,31.955417866832324,71.12045770065396,59.40351648288546,111.54,313.68,26.156845369684042,32.26,38.94965507033724
2010-01-14,86.63742692952843,40.635296552060645,53.40295822036607,37.799224612432205,31.87280691582524,71.30545311085797,60.235312109676165,112.03,312.48,26.13357932977327,32.2,38.99325217697518
2010-01-15,85.66498833754619,40.162283830825196,52.62612781604628,37.20575852552203,31.504286973469082,71.4394034912094,60.607956550478406,110.86,307.2,25.93581799053172,31.77,38.83630259307859
2010-01-19,86.73542303346981,40.81048644881452,53.59303374482728,37.57096842515906,32.14317002821207,71.3260081564362,60.43494306010594,111.52,311.44,26.465120398501753,32.01,38.85286949360101
2010-01-20,85.85344528292497,40.22360029468905,52.8162033405075,36.61229243861187,31.36963112332753,71.51100356664021,61.0471446414239,108.94,303.12,26.16847838963943,31.42,38.797065197104445
2010-01-21,84.20256093375136,39.84694201666822,51.94640121226648,35.82969979653252,30.421482708359825,71.53155861221845,61.326627972025584,107.37,297.92,25.41814860251707,30.88,38.191065414837055
2010-01-22,82.32553126543436,38.68192920325497,51.014617934744614,35.13188802401178,29.747452449006545,71.57266870337489,61.220158131796374,107.17,290.72,24.778332504970873,30.08,37.829209429742136
2010-01-25,82.74767331542726,38.81332162582038,51.07246700740672,35.56231397715542,29.965244956207048,71.56581702151549,60.940674801194696,107.48,294.48,24.952827804301652,30.35,37.885885668371465
2010-01-26,82.4009132897581,38.848359605171154,50.56835365992261,35.36014421128492,29.3419077804263,71.65488888568778,60.96063789623767,107.56,292.0,24.720167405193948,30.04,37.9338424856732
2010-01-27,82.79290675145707,39.15494192449043,51.10552362035651,35.321014579180954,29.2668069158744,71.60007543081252,60.92736607116604,106.528,288.64,24.94119478434627,29.58,37.946921617664586
2010-01-28,81.8430822390925,38.14760001815566,50.22952337718739,34.727548492270785,29.06403458158428,71.53841029407785,60.89409424609442,106.48,289.28,24.72598391517164,29.55,37.785612323104196
2010-01-29,80.95356470307692,37.48187841049095,49.67582511027861,34.22538488026987,28.74861095046631,71.70285065870364,61.42644344724047,105.96,285.12,24.586387675707016,29.24,37.59378505389726
2010-02-01,82.21245634437932,37.893574667862545,50.26257999013717,34.85145899393335,29.522149855350854,71.60487160811411,60.87080396854428,108.35,293.76,25.03425894398935,29.76,37.77384110431195
2010-02-02,83.20750826215146,38.235194966532596,50.816278257045944,35.43188187014219,29.762472621916928,71.68734986299002,61.04443434739037,109.13,300.2272,25.37743303267322,30.54,37.88806765335965
2010-02-03,82.79290675145707,38.44542284263724,50.47744797431072,35.060150365154506,29.58974063344756,71.55675929276981,60.33655664901783,108.7,301.2,24.96446082425704,30.43,38.08137412097883
2010-02-04,80.23743057212094,37.33296699825016,48.79156071387205,33.63191879335971,28.252945244423785,71.728588990428,61.29152373267135,104.37,286.4,24.0396357378039,29.18,37.54099467740703
2010-02-05,80.40327419170983,37.64830881240712,48.98163623833328,33.573224345203755,27.937521613305822,71.7560817420533,61.425085562552965,104.68,281.68,24.48169049610855,28.61,37.32132823693068
2010-02-08,79.8228230308043,37.37676447243862,48.494051197324055,32.90802059943632,27.659648414463796,71.89354550017983,61.50522266048193,104.04,280.72,23.946571578160817,28.82,37.15877507097819
2010-02-09,80.82541548787492,37.76218224529714,49.16344760955705,33.94495585019144,28.560858789086566,71.76295492995962,60.89083824302652,105.41,289.68,23.87095694845081,29.39,37.23346166074015
2010-02-10,80.66711240758454,37.683346791757906,49.27914575488128,33.72974287361962,28.48575792453467,71.59799842020777,60.309844283041514,105.12,292.08,23.917489028272353,29.46,36.732622176454086
2010-02-11,81.51139575374252,38.252713956207984,50.06258748179101,34.04277993045137,29.236766570053643,71.47977958821896,59.98261779983156,107.13,294.24,24.143169615406833,29.86,36.88111669021609
2010-02-12,81.44355426871729,38.331549409747225,50.42786305488606,33.74930768967161,28.868772333749344,71.49490060161287,60.22970718511254,107.04,290.48,24.42934190630931,29.5,36.86002871193036
2010-02-16,82.72505923580958,38.82208112065807,51.27907083834283,34.499292304997645,29.61227089281313,71.67360348717737,60.34323474051191,109.62,302.32,25.12150659365474,30.41,37.22467500312109
